State,City 
,
,
Andhra Pradesh,Adoni
Andhra Pradesh,Akkarampalle
Andhra Pradesh,Amadalavalasa (Amudalavalasa)
Andhra Pradesh,Amalapuram
Andhra Pradesh,Anakapalle
Andhra Pradesh,Anantapur
Andhra Pradesh,Anantapur
Andhra Pradesh,Arempudi
Andhra Pradesh,Avilala
Andhra Pradesh,Badvel
Andhra Pradesh,Balaga
Andhra Pradesh,Banaganapalle (Banganapalle)
Andhra Pradesh,Bandarulanka
Andhra Pradesh,Banumukkala
Andhra Pradesh,Bapatla
Andhra Pradesh,Bethamcherla
Andhra Pradesh,Bheemunipatnam
Andhra Pradesh,Bhimavaram
Andhra Pradesh,Bobbili
Andhra Pradesh,Bowluvada
Andhra Pradesh,Buja Buja Nellore
Andhra Pradesh,Cheepurupalle (Cheepurupalli)
Andhra Pradesh,Chennamukkapalle
Andhra Pradesh,Cherlopalle
Andhra Pradesh,Chidiga
Andhra Pradesh,Chilakaluripet
Andhra Pradesh,Chintalavalasa
Andhra Pradesh,Chintapalle
Andhra Pradesh,Chirala
Andhra Pradesh,Chirala
Andhra Pradesh,Chittoor
Andhra Pradesh,Chodavaram
Andhra Pradesh,Cumbum
Andhra Pradesh,Dharmavaram
Andhra Pradesh,Dhone (Dronachalam)
Andhra Pradesh,Dommara Nandyala
Andhra Pradesh,Dowleswaram
Andhra Pradesh,Dwarakatirumala
Andhra Pradesh,Eluru
Andhra Pradesh,Gajapathinagaram
Andhra Pradesh,Gavaravaram
Andhra Pradesh,Giddaluru
Andhra Pradesh,Gooty
Andhra Pradesh,Gopavaram
Andhra Pradesh,Gudivada
Andhra Pradesh,Gudivada
Andhra Pradesh,Gudur
Andhra Pradesh,Guntakal
Andhra Pradesh,Guntupalle
Andhra Pradesh,Guntur
Andhra Pradesh,Hindupur
Andhra Pradesh,Hiramandalam
Andhra Pradesh,Hukumpeta
Andhra Pradesh,Ibrahimpatnam
Andhra Pradesh,Ichchapuram
Andhra Pradesh,Jaggaiahpet (Jaggayyapeta)
Andhra Pradesh,Jammalamadugu
Andhra Pradesh,Jarjapupeta
Andhra Pradesh,Kadapa (Cuddapah)
Andhra Pradesh,Kadiri
Andhra Pradesh,Kakinada
Andhra Pradesh,Kakkalapalle
Andhra Pradesh,Kalyandurg
Andhra Pradesh,Kanapaka
Andhra Pradesh,Kandukur
Andhra Pradesh,Kanigiri U
Andhra Pradesh,Kankipadu
Andhra Pradesh,Kantabamsuguda
Andhra Pradesh,Kanuru
Andhra Pradesh,Katheru
Andhra Pradesh,Kavali
Andhra Pradesh,Kondapalle (Kondapalli)
Andhra Pradesh,Kothavalasa
Andhra Pradesh,Kovvur
Andhra Pradesh,Kuppam
Andhra Pradesh,Kurnool (incl. Kallur)
Andhra Pradesh,L.A.Sagaram
Andhra Pradesh,Macherla
Andhra Pradesh,Machilipatnam
Andhra Pradesh,Madanapalle
Andhra Pradesh,Malicherla
Andhra Pradesh,Mamidalapadu
Andhra Pradesh,Mandapeta
Andhra Pradesh,Mangalagiri
Andhra Pradesh,Mangalam
Andhra Pradesh,Mangampeta
Andhra Pradesh,Mangasamudram
Andhra Pradesh,Markapur
Andhra Pradesh,Modameedipalle
